IAC141,"{'County_Name': 'Obrien', 'Lat': '43.083746', 'Long': '-95.625624', 'numSV': 16, 'numFF': 6}"
IAC143,"{'County_Name': 'Osceola', 'Lat': '43.378542', 'Long': '-95.633788', 'numSV': 11, 'numFF': 5}"
IAC145,"{'County_Name': 'Page', 'Lat': '40.73909', 'Long': '-95.14429', 'numSV': 18, 'numFF': 0}"
IAC147,"{'County_Name': 'Palo Alto', 'Lat': '43.075337', 'Long': '-94.669055', 'numSV': 16, 'numFF': 3}"
IAC149,"{'County_Name': 'Plymouth', 'Lat': '42.737585', 'Long': '-96.215864', 'numSV': 12, 'numFF': 5}"
IAC151,"{'County_Name': 'Pocahontas', 'Lat': '42.734033', 'Long': '-94.678279', 'numSV': 32, 'numFF': 2}"
IAC153,"{'County_Name': 'Polk', 'Lat': '41.684816', 'Long': '-93.568971', 'numSV': 32, 'numFF': 6}"
IAC155,"{'County_Name': 'Pottawattamie', 'Lat': '41.340184', 'Long': '-95.544905', 'numSV': 40, 'numFF': 4}"
IAC157,"{'County_Name': 'Poweshiek', 'Lat': '41.684526', 'Long': '-92.522882', 'numSV': 8, 'numFF': 4}"
IAC159,"{'County_Name': 'Ringgold', 'Lat': '40.735334', 'Long': '-94.244251', 'numSV': 11, 'numFF': 3}"
IAC161,"{'County_Name': 'Sac', 'Lat': '42.387526', 'Long': '-95.105224', 'numSV': 13, 'numFF': 0}"
IAC163,"{'County_Name': 'Scott', 'Lat': '41.642079', 'Long': '-90.622289', 'numSV': 13, 'numFF': 2}"
IAC165,"{'County_Name': 'Shelby', 'Lat': '41.679014', 'Long': '-95.308917', 'numSV': 21, 'numFF': 1}"
IAC167,"{'County_Name': 'Sioux', 'Lat': '43.082646', 'Long': '-96.17801', 'numSV': 11, 'numFF': 5}"
IAC169,"{'County_Name': 'Story', 'Lat': '42.037538', 'Long': '-93.466093', 'numSV': 32, 'numFF': 6}"
IAC171,"{'County_Name': 'Tama', 'Lat': '42.074848', 'Long': '-92.529411', 'numSV': 14, 'numFF': 2}"
IAC173,"{'County_Name': 'Taylor', 'Lat': '40.737949', 'Long': '-94.697108', 'numSV': 12, 'numFF': 2}"
IAC175,"{'County_Name': 'Union', 'Lat': '41.02855', 'Long': '-94.245091', 'numSV': 13, 'numFF': 3}"
IAC177,"{'County_Name': 'Van Buren', 'Lat': '40.754117', 'Long': '-91.952943', 'numSV': 6, 'numFF': 0}"
IAC179,"{'County_Name': 'Wapello', 'Lat': '41.031263', 'Long': '-92.409482', 'numSV': 12, 'numFF': 1}"
IAC181,"{'County_Name': 'Warren', 'Lat': '41.332446', 'Long': '-93.568751', 'numSV': 16, 'numFF': 0}"
IAC183,"{'County_Name': 'Washington', 'Lat': '41.329401', 'Long': '-91.725052', 'numSV': 18, 'numFF': 1}"
IAC185,"{'County_Name': 'Wayne', 'Lat': '40.739983', 'Long': '-93.332613', 'numSV': 10, 'numFF': 0}"
IAC187,"{'County_Name': 'Webster', 'Lat': '42.433579', 'Long': '-94.175831', 'numSV': 34, 'numFF': 3}"
IAC189,"{'County_Name': 'Winnebago', 'Lat': '43.378124', 'Long': '-93.743488', 'numSV': 20, 'numFF': 2}"
IAC191,"{'County_Name': 'Winneshiek', 'Lat': '43.292989', 'Long': '-91.850788', 'numSV': 8, 'numFF': 1}"
IAC193,"{'County_Name': 'Woodbury', 'Lat': '42.39322', 'Long': '-96.053296', 'numSV': 7, 'numFF': 4}"
IAC195,"{'County_Name': 'Worth', 'Lat': '43.373491', 'Long': '-93.248533', 'numSV': 16, 'numFF': 2}"
IAC197,"{'County_Name': 'Wright', 'Lat': '42.733007', 'Long': '-93.734735', 'numSV': 34, 'numFF': 2}"
